"Average annual water use per household by state and territory (a) (kL)"
,"2019-20","2020-21","2021-22","2022-23","2023-24"
"New South Wales","176.81","174.01","166.66","161.99","165.73"
"Victoria","161.70","165.07","161.91","151.53","156.44"
"Queensland","185.37","179.30","167.17","160.48","163.67"
"South Australia","185.95","191.41","189.07","186.38","190.21"
"Western Australia","238.75","236.33","234.78","223.75","243.36"
"Tasmania","156.95","145.53","146.07","143.33","155.03"
"Northern Territory","330.96","321.05","333.06","308.72","329.57"
"Australian Capital Territory","205.52","181.63","170.42","165.79","174.14"

" a. Household water use does not include self-extracted water (e.g. rainwater tanks, bore water)."

" Source: Australian Bureau of Statistics, Water Account, Australia 2023-24 financial year"
